0_s0   0_s7   0_s7   0_s7  0_s7   0_s7   0_s7   0_s7   0_s7   0_s6
0_s1   1_t13  1_s0   1_s7  1_s7   1_s7   1_s7   1_s6   1_t12  0_s5
0_s1   1_t2   1_s1   2_x   2_x    2_x    2_b3   1_s5   1_t3   0_s5
0_s1   1_y3   1_s1   2_x   2_x    2_x    2_x    1_s5   1_y3   0_s5
0_s1   1_t3   1_s1   2_x   2_x    2_x    2_x    1_s5   1_t2   0_s5
0_s1   1_t2   1_s1   2_x   2_x    2_x    2_x    1_s5   1_t3   0_s5
0_s1   1_t3   1_s1   2_x   2_x    2_x    2_b1   1_s5   1_t2   0_s5
0_s1   1_t2   1_s1   2_x   2_x    2_x    2_x    1_s5   1_t3   0_s5
0_s1   1_y0   1_s1   2_x   2_x    2_x    2_x    1_s5   1_y2   0_s5
0_s1   1_t3   1_s1   2_x   2_x    2_x    2_x    1_s5   1_t2   0_s5
0_s1   1_t2   1_s2   1_s3  1_s3   1_s3   1_s3   1_s4   1_t3   0_s5
0_s1   1_t3   1_x    1_m1  1_t0   1_t0   1_x    1_a    1_t2   0_s5
0_s1   1_t2   1_x    1_x   1_t0   1_t0   1_x    1_x    1_t3   0_s5
0_s1   1_t3   1_t2   1_t3  1_t2   1_t3   1_t2   1_t3   1_t2   0_s5
0_s1   1_tw0  1_t0   1_t10 1_y1   1_y11  1_t10  1_t0   1_tw0  0_s5
0_s2   0_s3   0_s3   0_s3  0_s3   0_s3   0_s3   0_s3   0_s3   0_s4
